"source","target"
"Balice I","Kraków Airport - Dworzec Główny Wschód"

"Salwator","Malczewskiego"
"Malczewskiego","Księcia Józefa"
"Księcia Józefa","Benedyktowicza"
"Benedyktowicza","Glinnik"
"Glinnik","Przegorzały"
"Przegorzały","Zaskale"
"Zaskale","Na Krępaku"
"Na Krępaku","Bielańskie Skały"
"Bielańskie Skały","Wodociągi"
"Wodociągi","Bielany Klasztor"
"Bielany Klasztor","Bielany Szkoła"
"Bielany Szkoła","Bielany"
"Bielany","Granica Miasta"
"Granica Miasta","Kryspinów"
"Kryspinów","Budzyń Zalew na Piaskach"
"Budzyń Zalew na Piaskach","Balice Olszanica Bory"
"Balice Olszanica Bory","Balice Medweckiego"
"Balice Medweckiego","Balice I"
"Balice I","Balice Autostrada"
"Balice Autostrada","Balice Szkoła"
"Balice Szkoła","Balice Instytut"
"Balice Instytut","Balice Winna Góra"
"Balice Winna Góra","Aleksandrowice Osiedle"
"Aleksandrowice Osiedle","Aleksandrowice"
"Aleksandrowice","Morawica Cmentarz"
"Morawica Cmentarz","Morawica Krzyżówka"
"Morawica Krzyżówka","Morawica - Salwator"

"Bronowice Małe","Bronowice Wiadukt"
"Bronowice Wiadukt","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Stawowa"
"Stawowa","Jasnogórska"
"Jasnogórska","Skrzyżowanie do Podchruścia"
"Skrzyżowanie do Podchruścia","Modlnica I Kolonia"
"Modlnica I Kolonia","Modlnica II"
"Modlnica II","Szyce II"
"Szyce II","Szyce I"
"Szyce I","Wielka Wieś"
"Wielka Wieś","Biały Kościół"
"Biały Kościół","Murownia"
"Murownia","Czajowice"
"Czajowice","Bębło Stara Wieś"
"Bębło Stara Wieś","Bębło Łabajowa"
"Bębło Łabajowa","Bębło Lasek"
"Bębło Lasek","Będkowice Mosurowa"
"Będkowice Mosurowa","Będkowice Kawiory"
"Będkowice Kawiory","Będkowice Borynia"
"Będkowice Borynia","Będkowice Cmentarz"
"Będkowice Cmentarz","Będkowice"
"Będkowice","Będkowice Długa"
"Będkowice Długa","Będkowice Pętla - Bronowice Małe"
"Będkowice Pętla - Bronowice Małe","Bronowice Małe - Będkowice Pętla"
"Bronowice Małe - Będkowice Pętla","Będkowice Pętla - Bronowice Małe"

"Kombinat","Kombinat"
"Kombinat","Kopiec Wandy"
"Kopiec Wandy","Bardosa"
"Bardosa","Bardosa"
"Bardosa","Fort Mogiła"
"Fort Mogiła","Jeżynowa"
"Jeżynowa","Brama nr 5"
"Brama nr 5","Koksochemia"
"Koksochemia","Pleszów"
"Pleszów","Zakład Przeróbki"
"Zakład Przeróbki","Szymańskiego"
"Szymańskiego","Wyciąże"
"Wyciąże","Wyciąże Sklep"
"Wyciąże Sklep","Wyciąska"
"Wyciąska","Podstawie"
"Podstawie","Drożyska"
"Drożyska","Przylasek Wyciąski"
"Przylasek Wyciąski","Siejówka"
"Siejówka","Bartnicza"
"Bartnicza","Wolica Sklep"
"Wolica Sklep","Wolica Kościół"
"Wolica Kościół","Wolica Most"
"Wolica Most","Niepołomice Kolejowa"
"Niepołomice Kolejowa","Niepołomice Moczydło"
"Niepołomice Moczydło","Niepołomice Dworzec"
"Niepołomice Dworzec","Niepołomice Rynek"
"Niepołomice Rynek","Niepołomice Batorego"
"Niepołomice Batorego","Niepołomice Batorego II"
"Niepołomice Batorego II","Niepołomice Jazy"
"Niepołomice Jazy","Niepołomice Jazy II"
"Niepołomice Jazy II","Wola Batorska Ruskie"
"Wola Batorska Ruskie","Wola Batorska Żwirownia"
"Wola Batorska Żwirownia","Wola Batorska Kościół"
"Wola Batorska Kościół","Wola Batorska Cmentarz"
"Wola Batorska Cmentarz","Wola Batorska Borek"
"Wola Batorska Borek","Wola Batorska Mikoniowiec"
"Wola Batorska Mikoniowiec","Wola Batorska Zamoglice"
"Wola Batorska Zamoglice","Zabierzów Bocheński Centrum"
"Zabierzów Bocheński Centrum","Wola Zabierzowska"
"Wola Zabierzowska","Chobot"
"Chobot","Chobot Leśniczówka - Kombinat"

"Czyżyny Dworzec","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Teatr Ludowy"
"Teatr Ludowy","Kocmyrzowska"
"Kocmyrzowska","Wańkowicza"
"Wańkowicza","Darwina"
"Darwina","Wzgórza Krzesławickie"
"Wzgórza Krzesławickie","Grębałów"
"Grębałów","Gustawa Morcinka"
"Gustawa Morcinka","Prusy"
"Prusy","Prusy Szkoła"
"Prusy Szkoła","Prusy WSR"
"Prusy WSR","Sulechów"
"Sulechów","Dojazdów PKS"
"Dojazdów PKS","Dojazdów Działki"
"Dojazdów Działki","Kocmyrzów Rondo"
"Kocmyrzów Rondo","Kocmyrzów Krzyżówka"
"Kocmyrzów Krzyżówka","Kocmyrzów Biblioteka"
"Kocmyrzów Biblioteka","Kocmyrzów Sodfiny"
"Kocmyrzów Sodfiny","Głęboka Kolonia"
"Głęboka Kolonia","Głęboka"
"Głęboka","Karniów"
"Karniów","Czulice - Czyżyny Dworzec"

"Czerwone Maki","Czerwone Maki"
"Czerwone Maki","Bunscha"
"Bunscha","Babińskiego"
"Babińskiego","Skotniki"
"Skotniki","Baczyńskiego"
"Baczyńskiego","Wrony"
"Wrony","Skawina Podlipki"
"Skawina Podlipki","Skawina Rzepnik"
"Skawina Rzepnik","Skawina Rynek"
"Skawina Rynek","Skawina Szkoła"
"Skawina Szkoła","Skawina Sąd"
"Skawina Sąd","Skawina Koncentraty"
"Skawina Koncentraty","Rzozów Baseny"
"Rzozów Baseny","Rzozów I"
"Rzozów I","Rzozów Szkoła"
"Rzozów Szkoła","Gołuchowice"
"Gołuchowice","Gołuchowice Jurczyce"
"Gołuchowice Jurczyce","Gołuchowice Sklep"
"Gołuchowice Sklep","Polanka Hallera Dwór"
"Polanka Hallera Dwór","Grabie Polanka"
"Grabie Polanka","Krzęcin Sklep"
"Krzęcin Sklep","Krzęcin Cmentarz"
"Krzęcin Cmentarz","Krzęcin Kościół"
"Krzęcin Kościół","Krzęcin Kapliczka"
"Krzęcin Kapliczka","Krzęcin Częsna"
"Krzęcin Częsna","Krzęcin Pętla - Czerwone Maki"
"Krzęcin Pętla - Czerwone Maki","Skawina - Krzęcin Pętla"
"Skawina - Krzęcin Pętla","Krzęcin Pętla - Skawina"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Wilga"
"Wilga","Zdrojowa"
"Zdrojowa","Swoszowice Sklep"
"Swoszowice Sklep","Swoszowice Poczta"
"Swoszowice Poczta","Swoszowice"
"Swoszowice","Fort Swoszowice"
"Fort Swoszowice","Landaua"
"Landaua","Rajsko"
"Rajsko","Geologów"
"Geologów","Malinowskiego"
"Malinowskiego","Drużbackiej"
"Drużbackiej","Soboniowice"
"Soboniowice","Pod Lipą"
"Pod Lipą","Soboniowice Granica Miasta"
"Soboniowice Granica Miasta","Grabówki - Borek Fałęcki"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Wilga"
"Wilga","Zdrojowa"
"Zdrojowa","Swoszowice Sklep"
"Swoszowice Sklep","Swoszowice Poczta"
"Swoszowice Poczta","Swoszowice"
"Swoszowice","Wróblowice Szkoła"
"Wróblowice Szkoła","Wróblowice Rozwidlenie"
"Wróblowice Rozwidlenie","Ukraina"
"Ukraina","Zbydniowice"
"Zbydniowice","Wrząsowice Wrzosowa"
"Wrząsowice Wrzosowa","Wrząsowice Centrum"
"Wrząsowice Centrum","Wrząsowice Pileckiego"
"Wrząsowice Pileckiego","Wrząsowice Kowaleca"
"Wrząsowice Kowaleca","Wrząsowice"
"Wrząsowice","Wrząsowice Zielona"
"Wrząsowice Zielona","Świątniki Krakowska"
"Świątniki Krakowska","Świątniki Urząd Miasta i Gminy"
"Świątniki Urząd Miasta i Gminy","Świątniki Centrum"
"Świątniki Centrum","Świątniki Bielowicza Szkoła"
"Świątniki Bielowicza Szkoła","Świątniki Skrzyżowanie"
"Świątniki Skrzyżowanie","Świątniki Górne Piasna Górka"
"Świątniki Górne Piasna Górka","Rzeszotary Zalesie"
"Rzeszotary Zalesie","Rzeszotary Panciawa"
"Rzeszotary Panciawa","Rzeszotary Panciawa Pętla - Borek Fałęcki"

"Krowodrza Górka","Zdrowa"
"Zdrowa","Mackiewicza"
"Mackiewicza","Imbramowska"
"Imbramowska","Opolska Estakada"
"Opolska Estakada","Aleja 29 Listopada"
"Aleja 29 Listopada","Kuźnicy Kołłątajowskiej"
"Kuźnicy Kołłątajowskiej","Belwederczyków"
"Belwederczyków","Trzecia Góra"
"Trzecia Góra","Węgrzce Starostwo Powiatowe"
"Węgrzce Starostwo Powiatowe","Węgrzce"
"Węgrzce","Węgrzce Centrum"
"Węgrzce Centrum","Węgrzce Błonie"
"Węgrzce Błonie","Węgrzce Pętla - Krowodrza Górka"

"Bronowice Małe","Giełda Balicka P+R"
"Giełda Balicka P+R","Lindego"
"Lindego","UR Balicka"
"UR Balicka","Młynówka SKA"
"Młynówka SKA","Godlewskiego"
"Godlewskiego","Zakliki"
"Zakliki","Mydlniki"
"Mydlniki","Mydlniki Stawy"
"Mydlniki Stawy","Mydlniki Granica Miasta"
"Mydlniki Granica Miasta","Szczyglice Podkamycze"
"Szczyglice Podkamycze","Szczyglice Autostrada"
"Szczyglice Autostrada","Szczyglice Dom Kultury"
"Szczyglice Dom Kultury","Szczyglice"
"Szczyglice","Balice Autostrada"
"Balice Autostrada","Balice Autostrada"
"Balice Autostrada","Balice Szkoła"
"Balice Szkoła","Balice OSP"
"Balice OSP","Balice Leśna"
"Balice Leśna","Balice Grzybów"
"Balice Grzybów","Burów"
"Burów","Burów Centrum"
"Burów Centrum","Kleszczów Pod Lipką"
"Kleszczów Pod Lipką","Kleszczów - Bronowice Małe"

"Krowodrza Górka","Krowoderskich Zuchów"
"Krowoderskich Zuchów","Batalionu Skała AK"
"Batalionu Skała AK","Wyki"
"Wyki","Skrajna"
"Skrajna","Jordanowska"
"Jordanowska","Chabrowa"
"Chabrowa","Os.Łokietka"
"Os.Łokietka","Poziomkowa"
"Poziomkowa","Gospodarska"
"Gospodarska","Tonie Skrzyżowanie"
"Tonie Skrzyżowanie","Tonie Gliniki"
"Tonie Gliniki","Modlnica Trojadyn Szydło"
"Modlnica Trojadyn Szydło","Giebułtów Trojadyn Trafo"
"Giebułtów Trojadyn Trafo","Giebułtów Trojadyn"
"Giebułtów Trojadyn","Trojadyn Skrzyżowanie"
"Trojadyn Skrzyżowanie","Giebułtów - Krowodrza Górka"
"Giebułtów - Krowodrza Górka","Krowodrza Górka - Giebułtów Morgi"
"Krowodrza Górka - Giebułtów Morgi","Giebułtów Morgi - Krowodrza Górka"
"Giebułtów Morgi - Krowodrza Górka","Krowodrza Górka - Giebułtów"
"Krowodrza Górka - Giebułtów","Giebułtów - Krowodrza Górka"

"Mały Płaszów","Mały Płaszów"
"Mały Płaszów","Surzyckiego"
"Surzyckiego","Albatrosów"
"Albatrosów","Jeżowa"
"Jeżowa","Rybitwy Sklep"
"Rybitwy Sklep","Rybitwy Dom Kultury"
"Rybitwy Dom Kultury","Rybitwy Rozjazd"
"Rybitwy Rozjazd","Szparagowa"
"Szparagowa","Ks.Targosza"
"Ks.Targosza","Przewóz"
"Przewóz","Łutnia"
"Łutnia","Brzegi I"
"Brzegi I","Brzegi III"
"Brzegi III","Grabie Szczurów"
"Grabie Szczurów","Grabie Dom Kultury"
"Grabie Dom Kultury","Grabie Kościół"
"Grabie Kościół","Niepołomice Podgrabie"
"Niepołomice Podgrabie","Niepołomice Pasternik"
"Niepołomice Pasternik","Niepołomice Kątek"
"Niepołomice Kątek","Niepołomice Poręby"
"Niepołomice Poręby","Niepołomice Diesla"
"Niepołomice Diesla","Niepołomice Wodna"
"Niepołomice Wodna","Niepołomice Płaszowska I"
"Niepołomice Płaszowska I","Niepołomice Kościuszki"
"Niepołomice Kościuszki","Niepołomice Rynek"
"Niepołomice Rynek","Niepołomice Dworzec - Mały Płaszów"
"Niepołomice Dworzec - Mały Płaszów","Brzegi - Mały Płaszów"

"Czyżyny Dworzec","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Teatr Ludowy"
"Teatr Ludowy","Kocmyrzowska"
"Kocmyrzowska","Wańkowicza"
"Wańkowicza","Darwina"
"Darwina","Wzgórza Krzesławickie"
"Wzgórza Krzesławickie","Grębałów"
"Grębałów","Gustawa Morcinka"
"Gustawa Morcinka","Prusy"
"Prusy","Prusy Szkoła"
"Prusy Szkoła","Prusy WSR"
"Prusy WSR","Sulechów"
"Sulechów","Dojazdów PKS"
"Dojazdów PKS","Dojazdów Działki"
"Dojazdów Działki","Kocmyrzów Rondo"
"Kocmyrzów Rondo","Luborzyca Szkoła"
"Luborzyca Szkoła","Luborzyca"
"Luborzyca","Wysiołek Luborzycki Skrzyżowanie"
"Wysiołek Luborzycki Skrzyżowanie","Wysiołek Luborzycki"
"Wysiołek Luborzycki","Wysiołek Luborzycki Radwany"
"Wysiołek Luborzycki Radwany","Marszowice Góry"
"Marszowice Góry","Marszowice Centrum"
"Marszowice Centrum","Marszowice"
"Marszowice","Polanowice Kolonia"
"Polanowice Kolonia","Polanowice"
"Polanowice","Niedźwiedź PKP"
"Niedźwiedź PKP","Niedźwiedź Felix"
"Niedźwiedź Felix","Ratajów Skrzyżowanie"
"Ratajów Skrzyżowanie","Słomniki Zagłoby"
"Słomniki Zagłoby","Słomniki Rynek"
"Słomniki Rynek","Słomniki Kościuszki"
"Słomniki Kościuszki","Słomniki Osiedle - Czyżyny Dworzec"

"Czerwone Maki","Czerwone Maki"
"Czerwone Maki","Bunscha"
"Bunscha","Babińskiego"
"Babińskiego","Skotniki"
"Skotniki","Baczyńskiego"
"Baczyńskiego","Wrony"
"Wrony","Skawina Podlipki"
"Skawina Podlipki","Skawina Rzepnik"
"Skawina Rzepnik","Skawina Rynek"
"Skawina Rynek","Skawina Szkoła"
"Skawina Szkoła","Skawina Sąd"
"Skawina Sąd","Skawina Koncentraty"
"Skawina Koncentraty","Skawina Zachodnia"
"Skawina Zachodnia","Skawina Elektrownia"
"Skawina Elektrownia","Skawina Piłsudskiego"
"Skawina Piłsudskiego","Skawina Podbory"
"Skawina Podbory","Borek Szlachecki I"
"Borek Szlachecki I","Borek Szlachecki II"
"Borek Szlachecki II","Zelczyna I"
"Zelczyna I","Zelczyna Sklep"
"Zelczyna Sklep","Zelczyna Szkoła"
"Zelczyna Szkoła","Wielkie Drogi"
"Wielkie Drogi","Wielkie Drogi PKP"
"Wielkie Drogi PKP","Wielkie Drogi Ośrodek Zdrowia"
"Wielkie Drogi Ośrodek Zdrowia","Wielkie Drogi Szkoła"
"Wielkie Drogi Szkoła","Wielkie Drogi Trzebol"
"Wielkie Drogi Trzebol","Jaśkowice PKP"
"Jaśkowice PKP","Jaśkowice"
"Jaśkowice","Brzeźnica Kuźnia"
"Brzeźnica Kuźnia","Brzeźnica Pasieka"
"Brzeźnica Pasieka","Brzeźnica - Czerwone Maki"
"Brzeźnica - Czerwone Maki","Skawina - Brzeźnica"
"Skawina - Brzeźnica","Brzeźnica - Skawina"

"Centrum JP II","Przykopy"
"Przykopy","Kurdwanów"
"Kurdwanów","Witosa"
"Witosa","Nowosądecka"
"Nowosądecka","Piaski Nowe"
"Piaski Nowe","Dauna"
"Dauna","Bieżanowska"
"Bieżanowska","Wlotowa"
"Wlotowa","Prokocim Szpital"
"Prokocim Szpital","Jerzmanowskiego"
"Jerzmanowskiego","Wielicka"
"Wielicka","Wielicka Granica Miasta"
"Wielicka Granica Miasta","Krzyszkowice Modrzewiowa"
"Krzyszkowice Modrzewiowa","Krzyszkowice Krzyszkowicka"
"Krzyszkowice Krzyszkowicka","Krzyszkowice Os.Szymanowskiego"
"Krzyszkowice Os.Szymanowskiego","Wieliczka Solne Miasto"
"Wieliczka Solne Miasto","Wieliczka Sąd"
"Wieliczka Sąd","Wieliczka Klaśnieńska"
"Wieliczka Klaśnieńska","Wieliczka Kopalnia Soli"
"Wieliczka Kopalnia Soli","Wieliczka Goliana"
"Wieliczka Goliana","Wieliczka Cmentarz"
"Wieliczka Cmentarz","Wieliczka Kampus - Centrum JP II"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Wilga"
"Wilga","Zdrojowa"
"Zdrojowa","Swoszowice Sklep"
"Swoszowice Sklep","Swoszowice Poczta"
"Swoszowice Poczta","Swoszowice"
"Swoszowice","Wróblowice Szkoła"
"Wróblowice Szkoła","Wróblowice Rozwidlenie"
"Wróblowice Rozwidlenie","Ukraina"
"Ukraina","Zbydniowice"
"Zbydniowice","Wrząsowice Nad Wilgą"
"Wrząsowice Nad Wilgą","Wrząsowice Pod Skałą"
"Wrząsowice Pod Skałą","Ochojno Dąbrówki"
"Ochojno Dąbrówki","Ochojno Kamieniec"
"Ochojno Kamieniec","Ochojno Skrzyżowanie"
"Ochojno Skrzyżowanie","Rzeszotary Górne"
"Rzeszotary Górne","Rzeszotary Polanki"
"Rzeszotary Polanki","Rzeszotary"
"Rzeszotary","Rzeszotary Tempo"
"Rzeszotary Tempo","Rzeszotary Trafo"
"Rzeszotary Trafo","Rzeszotary Szkoła"
"Rzeszotary Szkoła","Rzeszotary Pod Dębiną"
"Rzeszotary Pod Dębiną","Świątniki Skrzyżowanie"
"Świątniki Skrzyżowanie","Świątniki Bielowicza Szkoła"
"Świątniki Bielowicza Szkoła","Świątniki Centrum"
"Świątniki Centrum","Świątniki Urząd Miasta i Gminy - Borek Fałęcki"
"Świątniki Urząd Miasta i Gminy - Borek Fałęcki","Borek Fałęcki - Świątniki Urząd Miasta i Gminy"

"Bronowice Małe","Giełda Balicka P+R"
"Giełda Balicka P+R","Lindego"
"Lindego","UR Balicka"
"UR Balicka","Młynówka SKA"
"Młynówka SKA","Godlewskiego"
"Godlewskiego","Zakliki"
"Zakliki","Mydlniki"
"Mydlniki","Mydlniki Stawy"
"Mydlniki Stawy","Mydlniki Granica Miasta"
"Mydlniki Granica Miasta","Szczyglice Podkamycze"
"Szczyglice Podkamycze","Szczyglice Most"
"Szczyglice Most","Balice Autostrada"
"Balice Autostrada","Balice Autostrada"
"Balice Autostrada","Balice Szkoła"
"Balice Szkoła","Balice Instytut"
"Balice Instytut","Balice Winna Góra"
"Balice Winna Góra","Aleksandrowice Osiedle"
"Aleksandrowice Osiedle","Aleksandrowice"
"Aleksandrowice","Morawica Cmentarz"
"Morawica Cmentarz","Morawica Krzyżówka"
"Morawica Krzyżówka","Morawica Mostek"
"Morawica Mostek","Chrosna Kapliczka"
"Chrosna Kapliczka","Chrosna Sklep"
"Chrosna Sklep","Chrosna Studnia"
"Chrosna Studnia","Chrosna Pętla - Bronowice Małe"
"Chrosna Pętla - Bronowice Małe","Bronowice Małe - Chrosna Pętla"
"Bronowice Małe - Chrosna Pętla","Chrosna Pętla - Bronowice Małe"

"Krowodrza Górka","Zdrowa"
"Zdrowa","Pleszowska"
"Pleszowska","Białoprądnicka"
"Białoprądnicka","Piaszczysta"
"Piaszczysta","Glogera"
"Glogera","Glogera Granica Miasta"
"Glogera Granica Miasta","Zielonki Skrzyżowanie"
"Zielonki Skrzyżowanie","Zielonki UG"
"Zielonki UG","Zielonki Transformator"
"Zielonki Transformator","Zielonki Rozjazd"
"Zielonki Rozjazd","Garlica Murowana Podskale"
"Garlica Murowana Podskale","Garlica Murowana Kasztany"
"Garlica Murowana Kasztany","Garlica Murowana"
"Garlica Murowana","Garlica Duchowna"
"Garlica Duchowna","Garlica Duchowna Droga do Garliczki"
"Garlica Duchowna Droga do Garliczki","Wola Zachariaszowska"
"Wola Zachariaszowska","Wola Zachariaszowska Zakońce"
"Wola Zachariaszowska Zakońce","Górna Wieś - Krowodrza Górka"

"Salwator","Malczewskiego"
"Malczewskiego","Księcia Józefa"
"Księcia Józefa","Benedyktowicza"
"Benedyktowicza","Glinnik"
"Glinnik","Przegorzały"
"Przegorzały","Na Krępaku"
"Na Krępaku","Bielańskie Skały"
"Bielańskie Skały","Wodociągi"
"Wodociągi","Bielany Klasztor"
"Bielany Klasztor","Bielany Szkoła"
"Bielany Szkoła","Bielany"
"Bielany","Granica Miasta"
"Granica Miasta","Kryspinów"
"Kryspinów","Kryspinów Sanka"
"Kryspinów Sanka","Liszki I"
"Liszki I","Liszki UG"
"Liszki UG","Liszki Krzyżówka"
"Liszki Krzyżówka","Liszki Wołowska Droga"
"Liszki Wołowska Droga","Wyźrał Wielka Droga"
"Wyźrał Wielka Droga","Wyźrał Szkoła"
"Wyźrał Szkoła","Kaszów Wyźrał"
"Kaszów Wyźrał","Zagacie Witkówki"
"Zagacie Witkówki","Zagacie"
"Zagacie","Czernichów GS"
"Czernichów GS","Czernichów"
"Czernichów","Czernichów Zakamycze"
"Czernichów Zakamycze","Czernichów Ratanice Most"
"Czernichów Ratanice Most","Czernichów Ratanice"
"Czernichów Ratanice","Kłokoczyn"
"Kłokoczyn","Rusocice Łęg"
"Rusocice Łęg","Rusocice Załęg"
"Rusocice Załęg","Rusocice Wieś"
"Rusocice Wieś","Rusocice Skład"
"Rusocice Skład","Rusocice Droga do Kościoła"
"Rusocice Droga do Kościoła","Rusocice Jałowce"
"Rusocice Jałowce","Rusocice Stacja Benzynowa"
"Rusocice Stacja Benzynowa","Kamień Dół"
"Kamień Dół","Kamień - Salwator"
"Kamień - Salwator","Kamień - Centrum Kongresowe"

"Bronowice Małe","Bronowice Wiadukt"
"Bronowice Wiadukt","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Stawowa"
"Stawowa","Jasnogórska"
"Jasnogórska","Skrzyżowanie do Podchruścia"
"Skrzyżowanie do Podchruścia","Modlniczka Poligon"
"Modlniczka Poligon","Modlniczka I"
"Modlniczka I","Modlniczka"
"Modlniczka","Modlnica Skrzyżowanie"
"Modlnica Skrzyżowanie","Modlnica"
"Modlnica","Tomaszowice Wedonka"
"Tomaszowice Wedonka","Tomaszowice I"
"Tomaszowice I","Tomaszowice"
"Tomaszowice","Tomaszowice Gliniki"
"Tomaszowice Gliniki","Ujazd Pętla - Bronowice Małe"

"Czyżyny Dworzec","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Teatr Ludowy"
"Teatr Ludowy","Kocmyrzowska"
"Kocmyrzowska","Wańkowicza"
"Wańkowicza","Darwina"
"Darwina","Wzgórza Krzesławickie"
"Wzgórza Krzesławickie","Grębałów"
"Grębałów","Gustawa Morcinka"
"Gustawa Morcinka","Prusy"
"Prusy","Prusy Szkoła"
"Prusy Szkoła","Prusy WSR"
"Prusy WSR","Sulechów"
"Sulechów","Dojazdów PKS"
"Dojazdów PKS","Dojazdów Działki"
"Dojazdów Działki","Kocmyrzów Rondo"
"Kocmyrzów Rondo","Luborzyca Szkoła"
"Luborzyca Szkoła","Luborzyca"
"Luborzyca","Wysiołek Luborzycki Skrzyżowanie"
"Wysiołek Luborzycki Skrzyżowanie","Wysiołek Luborzycki Kapkazy"
"Wysiołek Luborzycki Kapkazy","Łuczyce Las"
"Łuczyce Las","Łuczyce"
"Łuczyce","Łuczyce Zjawienie"
"Łuczyce Zjawienie","Łuczyce Zwierzyniec"
"Łuczyce Zwierzyniec","Sadowie"
"Sadowie","Goszcza Cmentarz"
"Goszcza Cmentarz","Goszcza - Czyżyny Dworzec"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Zawiła Cmentarz"
"Zawiła Cmentarz","Las Borkowski"
"Las Borkowski","Zawiła"
"Zawiła","Komuny Paryskiej"
"Komuny Paryskiej","Kobierzyn"
"Kobierzyn","Babińskiego"
"Babińskiego","Skotniki"
"Skotniki","Baczyńskiego"
"Baczyńskiego","Wrony"
"Wrony","Skawina Podlipki"
"Skawina Podlipki","Skawina Rzepnik"
"Skawina Rzepnik","Skawina Cmentarz"
"Skawina Cmentarz","Skawina Popiełuszki"
"Skawina Popiełuszki","Skawina Ajka"
"Skawina Ajka","Skawina"
"Skawina","Skawina Ajka"
"Skawina Ajka","Skawina Cmentarz"
"Skawina Cmentarz","Skawina Rynek"
"Skawina Rynek","Skawina Szkoła"
"Skawina Szkoła","Skawina Sąd"
"Skawina Sąd","Skawina Koncentraty"
"Skawina Koncentraty","Skawina Energetyków Przejazd PKP"
"Skawina Energetyków Przejazd PKP","Skawina Energetyków"
"Skawina Energetyków","Skawina Robotnicza"
"Skawina Robotnicza","Kopanka Kościół"
"Kopanka Kościół","Kopanka Szkoła"
"Kopanka Szkoła","Skawina Pileckiego"
"Skawina Pileckiego","Skawina Ofiar Katynia"
"Skawina Ofiar Katynia","Kopanka Kapliczka"
"Kopanka Kapliczka","Kopanka Druga"
"Kopanka Druga","Kopanka Pętla - Borek Fałęcki"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Opatkowice Wiadukt"
"Opatkowice Wiadukt","Opatkowice"
"Opatkowice","Ważewskiego"
"Ważewskiego","Libertów Zgodna"
"Libertów Zgodna","Libertów"
"Libertów","Libertów Szkoła"
"Libertów Szkoła","Libertów Działy"
"Libertów Działy","Libertów Krzyżówka"
"Libertów Krzyżówka","Libertów Droga do Sidziny"
"Libertów Droga do Sidziny","Brzyczyna"
"Brzyczyna","Skawina Wyspiańskiego"
"Skawina Wyspiańskiego","Skawina Korabnicka"
"Skawina Korabnicka","Skawina Korabnicka Szkoła"
"Skawina Korabnicka Szkoła","Skawina Cmentarz"
"Skawina Cmentarz","Skawina Rynek"
"Skawina Rynek","Skawina Szkoła"
"Skawina Szkoła","Skawina Sąd"
"Skawina Sąd","Skawina Koncentraty"
"Skawina Koncentraty","Skawina Zachodnia"
"Skawina Zachodnia","Skawina Elektrownia"
"Skawina Elektrownia","Skawina Piłsudskiego"
"Skawina Piłsudskiego","Skawina Podbory - Borek Fałęcki"
"Skawina Podbory - Borek Fałęcki","Borek Fałęcki - Ochodza Odwiśle"
"Borek Fałęcki - Ochodza Odwiśle","Ochodza Odwiśle - Borek Fałęcki"

"Krowodrza Górka","Zdrowa"
"Zdrowa","Pleszowska"
"Pleszowska","Białoprądnicka"
"Białoprądnicka","Piaszczysta"
"Piaszczysta","Glogera"
"Glogera","Glogera Granica Miasta"
"Glogera Granica Miasta","Zielonki Skrzyżowanie"
"Zielonki Skrzyżowanie","Zielonki UG"
"Zielonki UG","Zielonki Transformator"
"Zielonki Transformator","Zielonki Rozjazd"
"Zielonki Rozjazd","Trojanowice Strugi"
"Trojanowice Strugi","Trojanowice"
"Trojanowice","Januszowice"
"Januszowice","Przybysławice II"
"Przybysławice II","Przybysławice III"
"Przybysławice III","Przybysławice I"
"Przybysławice I","Brzozówka Sklep"
"Brzozówka Sklep","Brzozówka"
"Brzozówka","Owczary"
"Owczary","Owczary Pętla - Krowodrza Górka"
"Owczary Pętla - Krowodrza Górka","Krowodrza Górka - Owczary Pętla"
"Krowodrza Górka - Owczary Pętla","Owczary Pętla - Krowodrza Górka"

"Bronowice Małe","Bronowice Wiadukt"
"Bronowice Wiadukt","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Katowicka"
"Katowicka","Pasternik Cmentarz"
"Pasternik Cmentarz","Pasternik"
"Pasternik","Droga do Rząski"
"Droga do Rząski","Rząska Jednostka Wojskowa"
