"source","target"
"Dunikowskiego","Kleeberga"
"Kleeberga","Piasta Kołodzieja"
"Piasta Kołodzieja","Os.Piastów - Kopiec Wandy"

"Borek Fałęcki","Borek Fałęcki I"
"Borek Fałęcki I","Solvay"
"Solvay","Sanktuarium Bożego Miłosierdzia"
"Sanktuarium Bożego Miłosierdzia","Łagiewniki"
"Łagiewniki","Brożka"
"Brożka","Borsucza"
"Borsucza","Kobierzyńska"
"Kobierzyńska","Słomiana"
"Słomiana","Kapelanka"
"Kapelanka","Szwedzka"
"Szwedzka","Centrum Kongresowe"
"Centrum Kongresowe","Orzeszkowej"
"Orzeszkowej","Stradom"
"Stradom","Starowiślna"
"Starowiślna","Hala Targowa"
"Hala Targowa","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Teatr Variété"
"Teatr Variété","Francesco Nullo"
"Francesco Nullo","Fabryczna"
"Fabryczna","Ofiar Dąbia"
"Ofiar Dąbia","Dąbie"
"Dąbie","Kraków Plaza"
"Kraków Plaza","TAURON Arena Kraków Al. Pokoju"
"TAURON Arena Kraków Al. Pokoju","M1 Al. Pokoju"
"M1 Al. Pokoju","Nowohucka"
"Nowohucka","Centralna"
"Centralna","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Os.Kolorowe"
"Os.Kolorowe","Plac Centralny im. R.Reagana"
"Plac Centralny im. R.Reagana","Struga"
"Struga","Kombinat"
"Kombinat","Mrozowa"
"Mrozowa","Blokowa"
"Blokowa","Agencja Kraków Wschód"
"Agencja Kraków Wschód","Walcownia - Borek Fałęcki"

"Czerwone Maki","Chmieleniec"
"Chmieleniec","Kampus UJ"
"Kampus UJ","Ruczaj"
"Ruczaj","Norymberska"
"Norymberska","Grota-Roweckiego"
"Grota-Roweckiego","Lipińskiego"
"Lipińskiego","Borsucza"
"Borsucza","Brożka"
"Brożka","Łagiewniki"
"Łagiewniki","Łagiewniki"
"Łagiewniki","Rzemieślnicza"
"Rzemieślnicza","Rondo Matecznego"
"Rondo Matecznego","Smolki"
"Smolki","Korona"
"Korona","Limanowskiego"
"Limanowskiego","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Cmentarz Podgórski"
"Cmentarz Podgórski","Dworcowa"
"Dworcowa","Kabel"
"Kabel","Bieżanowska"
"Bieżanowska","Wlotowa"
"Wlotowa","Prokocim"
"Prokocim","Prokocim Szpital"
"Prokocim Szpital","Teligi"
"Teligi","Nowy Prokocim"
"Nowy Prokocim","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Bieżanów - Czerwone Maki"

"Kurdwanów","Witosa"
"Witosa","Nowosądecka"
"Nowosądecka","Piaski Nowe"
"Piaski Nowe","Dauna"
"Dauna","Bieżanowska"
"Bieżanowska","Kabel"
"Kabel","Dworcowa"
"Dworcowa","Cmentarz Podgórski"
"Cmentarz Podgórski","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Plac Bohaterów Getta"
"Plac Bohaterów Getta","Św.Wawrzyńca"
"Św.Wawrzyńca","Miodowa"
"Miodowa","Starowiślna"
"Starowiślna","Poczta Główna"
"Poczta Główna","Dworzec Główny"
"Dworzec Główny","Basztowa LOT"
"Basztowa LOT","Teatr Bagatela"
"Teatr Bagatela","Batorego"
"Batorego","Plac Inwalidów"
"Plac Inwalidów","Urzędnicza"
"Urzędnicza","Biprostal"
"Biprostal","Uniwersytet Pedagogiczny"
"Uniwersytet Pedagogiczny","Głowackiego"
"Głowackiego","Bronowice"
"Bronowice","Wesele"
"Wesele","Balicka Wiadukt"
"Balicka Wiadukt","Bronowice Małe - Kurdwanów"
"Bronowice Małe - Kurdwanów","Prokocim - Bronowice Małe"
"Prokocim - Bronowice Małe","Bronowice Małe - Prokocim"

"Dworzec Towarowy","Politechnika"
"Politechnika","Dworzec Główny Tunel"
"Dworzec Główny Tunel","Rondo Mogilskie"
"Rondo Mogilskie","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Zabłocie"
"Zabłocie","Klimeckiego"
"Klimeckiego","Kuklińskiego"
"Kuklińskiego","Gromadzka"
"Gromadzka","Lipska"
"Lipska","Dworzec Płaszów Estakada"
"Dworzec Płaszów Estakada","Kabel"
"Kabel","Bieżanowska"
"Bieżanowska","Dauna"
"Dauna","Piaski Nowe"
