"id","label"
"873","Liszki I"
"874","Liszki UG"
"875","Liszki Krzyżówka"
"876","Liszki Wołowska Droga"
"877","Wyźrał Wielka Droga"
"878","Wyźrał Szkoła"
"879","Kaszów Wyźrał"
"880","Zagacie Witkówki"
"881","Zagacie"
"882","Czernichów GS"
"883","Czernichów"
"884","Czernichów Zakamycze"
"885","Czernichów Ratanice Most"
"886","Czernichów Ratanice"
"887","Kłokoczyn"
"888","Rusocice Łęg"
"889","Rusocice Załęg"
"890","Rusocice Wieś"
"891","Rusocice Skład"
"892","Rusocice Droga do Kościoła"
"893","Rusocice Jałowce"
"894","Rusocice Stacja Benzynowa"
"895","Kamień Dół"
"896","Modlniczka Poligon"
"897","Modlniczka I"
"898","Modlniczka"
"899","Modlnica Skrzyżowanie"
"900","Modlnica"
"901","Tomaszowice Wedonka"
"902","Tomaszowice I"
"903","Tomaszowice"
"904","Tomaszowice Gliniki"
"905","Wysiołek Luborzycki Kapkazy"
"906","Łuczyce Las"
"907","Łuczyce"
"908","Łuczyce Zjawienie"
"909","Łuczyce Zwierzyniec"
"910","Sadowie"
"911","Goszcza Cmentarz"
"912","Skawina"
"913","Skawina Energetyków Przejazd PKP"
"914","Skawina Energetyków"
"915","Skawina Robotnicza"
"916","Kopanka Kościół"
"917","Kopanka Szkoła"
"918","Skawina Pileckiego"
"919","Skawina Ofiar Katynia"
"920","Kopanka Kapliczka"
"921","Kopanka Druga"
"922","Ważewskiego"
"923","Libertów Zgodna"
"924","Libertów"
"925","Libertów Szkoła"
"926","Libertów Działy"
"927","Libertów Krzyżówka"
"928","Libertów Droga do Sidziny"
"929","Brzyczyna"
"930","Skawina Wyspiańskiego"
"931","Skawina Korabnicka"
"932","Skawina Korabnicka Szkoła"
"933","Trojanowice Strugi"
"934","Trojanowice"
"935","Januszowice"
"936","Przybysławice II"
"937","Przybysławice III"
"938","Przybysławice I"
"939","Brzozówka Sklep"
"940","Brzozówka"
"941","Owczary"
"942","Pasternik Cmentarz"
"943","Pasternik"
"944","Droga do Rząski"
"945","Rząska Jednostka Wojskowa"
"946","Rząska UR"
"947","Rząska"
"948","Rząska Autostrada"
"949","Modlniczka Mała"
"950","Zabierzów Działki"
"951","Kraków Business Park"
"952","Zabierzów Sklep"
"953","Zabierzów Piekarnia"
"954","Zabierzów I"
"955","Zabierzów Piaski"
"956","Zabierzów Ośrodek Zdrowia"
"957","Kochanów I"
"958","Kochanów"
"959","Droga do Niegoszowic"
"960","Rudawa Stadion"
"961","Rudawa PKP"
"962","Rudawa Kościół"
"963","Rudawa"
"964","Rudawa Młyn"
"965","Młynka I"
"966","Rączna Dzikowiec"
"967","Rączna Podlas"
"968","Rączna Kościół"
"969","Rączna OSP"
"970","Rączna Boisko"
"971","Jeziorzany Rondo"
"972","Tonie Kąty"
"973","Łuczanowice"
"974","Krzysztoforzyce Góra"
"975","Krzysztoforzyce przy Dworze"
"976","Krzysztoforzyce Sklep"
"977","Bieżanów Granica Miasta"
"978","Czarnochowice I"
"979","Kokotów I"
"980","Kokotów II"
"981","Węgrzce Wielkie II"
"982","Węgrzce Wielkie III"
"983","Krzyszkowice Kasztanowa II"
"984","Krzyszkowice Kasztanowa I"
"985","Krzyszkowice Kościół"
"986","Gaj Szkoła"
"987","Gaj Zadziele"
"988","Mogilany Rynek"
"989","Mogilany Cmentarz"
"990","Mogilany Kopce"
"991","Chorowice"
"992","Kulerzów Wąwóz"
"993","Kulerzów"
"994","Buków Szkoła"
"995","Buków Klin"
"996","Buków"
"997","Skawina Bukowska"
"998","Bibice Kościuszki"
"999","Leroy Merlin"
"1000","Zabierzów Gimnazjum"
"1001","Zabierzów PKP"
"1002","Bolechowice Zielona"
"1003","Bolechowice Krzewiny"
"1004","Bolechowice Drogi"
"1005","Bolechowice"
"1006","Zelków Wola"
"1007","Zelków Staw"
"1008","Zelków Spławy"
"1009","Zelków I"
"1010","Skalna"
"1011","Bielańska"
"1012","Kryspinów Stopień Wodny"
"1013","Piekary Na Brzegu"
"1014","Piekary Korea"
"1015","Piekary Sklep"
"1016","Piekary"
"1017","Piekary Borki"
"1018","Piekary Dół"
"1019","Liszki Tyniecka"
"1020","Kaszów Łysa Góra"
"1021","Kaszów Tyrałówka"
"1022","Kaszów"
"1023","Kaszów II"
"1024","Nowa Wieś Kapliczka"
"1025","Nowa Wieś"
"1026","Nowa Wieś Kościół"
"1027","Nowa Wieś Szlachecka"
"1028","Nowa Wieś Jesionka"
"1029","Przeginia Duchowna Szkoła"
