"line_number","stop_name"
"109","Cracovia Stadion"
"109","Cracovia"
"109","Jubilat"
"109","Komorowskiego"
"109","Salwator"
"109","Malczewskiego"
"109","Księcia Józefa"
"109","Benedyktowicza"
"109","Glinnik"
"109","Przegorzały"
"109","Zaskale"
"109","Na Krępaku"
"109","Bielańskie Skały"
"109","Wodociągi"
"109","Bielany Klasztor"
"109","Bielany Szkoła"
"110","Aleja Przyjaźni"
"110","Aleja Róż"
"110","Żeromskiego"
"110","Teatr Ludowy"
"110","Kocmyrzowska"
"110","Wańkowicza"
"110","Darwina"
"110","Cmentarz Grębałów Południe"
"110","Cmentarz Grębałów"
"110","Lubocza Bugaj"
"110","Lubocza Przychodnia"
"110","Lubocza Szkoła"
"110","Lubocza Trafo"
"110","Wadowska"
"110","Wadów"
"110","Wadów Os.Kolejowe"
"110","Wadów Glinik"
"110","Wadów Działki"
"110","Węgrzynowicka"
"110","Węgrzynowice Dół"
"110","Barwna"
"110","Węgrzynowice Centrum"
"111","Pleszów"
"111","Zakład Przeróbki"
"111","Szymańskiego"
"111","Wyciąże"
"111","Ruszcza Cmentarz"
"111","Ruszcza"
"111","Ruszcza Cmentarz"
"111","Wyciąże"
"111","Wyciąże Sklep"
"111","Wyciąska"
"111","Podstawie"
"111","Drożyska"
"111","Przylasek Wyciąski"
"111","Siejówka"
"111","Bartnicza"
"111","Wolica Sklep"
"111","Wolica Kościół"
"112","Os.Podwawelskie"
"112","Centrum Kongresowe"
"112","Centrum Kongresowe"
"112","Rynek Dębnicki"
"112","Praska"
"112","Zielińskiego"
"112","Os.Robotnicze"
"112","Park Skały Twardowskiego"
"112","Pychowice"
"112","Rodzinna"
"112","Górka Pychowicka"
"112","Fort Bodzów"
"112","Kostrze Szkoła"
"112","Wały Wiślane"
"112","Kostrze Kapliczka"
"112","Kolna"
"112","Tyniecka Autostrada"
"112","Bolesława Śmiałego"
"112","Tyniec"
"112","Bogucianka"
"113","Czyżyny Dworzec"
"113","Rondo Czyżyńskie"
"113","Centralna"
"113","Sołtysowska"
"113","Sołtysowska Zakłady"
"113","Sołtysowska Osiedle"
"113","Sikorki"
"113","Na Załęczu"
"113","Na Załęczu Szkoła"
"113","Siwka"
"113","Wiklinowa"
"113","Isep"
"113","Zatyka"
"113","Szafrańska"
"115","Dworzec Główny Wschód"
"115","Muzeum Armii Krajowej"
"115","Cmentarz Rakowicki Zachód"
"115","Biskupa Prandoty"
"115","Uniwersytet Rolniczy"
"115","Opolska Estakada"
"115","Aleja 29 Listopada"
"115","Kuźnicy Kołłątajowskiej"
"115","Słomczyńskiego"
"115","Natansona"
"115","Dożynkowa"
"115","Witkowice Nowe"
"117","Kombinat"
"117","Zajezdnia Nowa Huta"
"117","Elektromontaż"
"117","Lubocza PKP"
"117","Lubocza Bugaj"
"117","Lubocza Przychodnia"
"117","Lubocza Szkoła"
"117","Lubocza Trafo"
"117","Wadowska"
"117","Wadów"
"117","Wadów Szkoła"
"117","Wadów Osiedle"
"117","Łuczanowice Skrzyżowanie"
"117","Bystronia"
"118","Krowodrza Górka"
"118","Krowoderskich Zuchów"
"118","Batalionu Skała AK"
"118","Makowskiego"
"118","Różyckiego"
"118","Conrada"
"118","Rondo Ofiar Katynia"
"118","Katowicka"
"118","Ojcowska Dworek"
"118","Ojcowska Wągroda"
"118","Ojcowska"
"118","Bronowice Wielkie"
"118","Jasnogórska"
"120","Krowodrza Górka"
"120","Krowoderskich Zuchów"
"120","Batalionu Skała AK"
"120","Wyki"
"120","Skrajna"
"120","Jordanowska"
"120","Chabrowa"
"120","Os.Łokietka"
"120","Poziomkowa"
"120","Gospodarska"
"120","Tonie Skrzyżowanie"
"120","Na Budzyniu"
"120","Tonie"
"120","Gaik"
"120","Bronowice Wielkie"
"120","Ojcowska"
"120","Ojcowska Wągroda"
"120","Ojcowska Dworek"
"120","Katowicka"
"120","Rondo Ofiar Katynia"
"120","Bronowice Wiadukt"
"120","Balicka Wiadukt"
"120","Bronowice Małe"
"122","Aleja Przyjaźni"
"122","Aleja Róż"
"122","Żeromskiego"
"122","Teatr Ludowy"
"122","Kocmyrzowska"
"122","Wańkowicza"
"122","Makuszyńskiego"
"122","Nad Dłubnią"
"122","Zajezdnia Bieńczyce"
"122","Petöfiego"
"122","Jagiełły"
"122","Jana Kazimierza"
"122","Leszka Białego"
"122","Os.Na Stoku Szkoła"
"122","Darwina"
"122","Wzgórza Krzesławickie"
"122","Grębałów"
"122","Gustawa Morcinka"
"122","Kantorowice"
"122","Zesławice Ogródki Działkowe"
"123","Mistrzejowice"
"123","Miśnieńska"
"123","Łęczycka"
"123","Cedyńska"
"123","Wiślicka"
"123","Os.Strusia"
"123","Os.Na Lotnisku"
"123","Dunikowskiego"
"123","Rondo Hipokratesa"
"123","Os.Jagiellońskie"
"123","Arka"
"123","Teatr Ludowy"
"123","Os.Górali"
"123","Os.Zielone"
"123","Struga"
"123","Orkana"
"123","Os.Willowe"
"123","Klasztorna"
"123","Os.Wandy"
"123","Os.Na Skarpie"
"123","Szpital Żeromskiego"
"123","Sieroszewskiego"
"123","Klasztor Cystersów"
"123","Stare Wiślisko"
"123","Lasek Mogilski"
"123","Szparagowa"
"123","Garbarnia"
"123","Jeżowa"
"123","Albatrosów"
"123","Surzyckiego"
"124","Os.Podwawelskie"
"124","Centrum Kongresowe"
"124","Centrum Kongresowe"
"124","Konopnickiej"
"124","Jubilat"
"124","Cracovia"
"124","Uniwersytet Jagielloński"
"124","Teatr Bagatela"
"124","Basztowa LOT"
"124","Dworzec Główny"
"124","Lubicz"
"124","Rondo Mogilskie"
"124","Cmentarz Rakowicki"
"124","Narzymskiego"
"124","Pilotów"
"124","Akacjowa"
"124","Spadochroniarzy"
"124","Ugorek"
"125","Szpital Rydygiera"
"125","Rondo Hipokratesa"
"125","DH Wanda"
"125","Os.Na Lotnisku"
"125","Os.Strusia"
"125","Wiślicka"
"125","Okulickiego"
"125","Os.Oświecenia"
"125","Park Wodny"
"125","Rondo Barei"
"125","Rondo Barei"
"125","Miechowity"
"125","Rondo Młyńskie"
"125","Pilotów"
"125","Narzymskiego"
"125","Brodowicza"
"125","Rondo Mogilskie"
"125","Rondo Grzegórzeckie"
"125","Francesco Nullo"
"125","Ofiar Dąbia"
"125","Stoczniowców"
"125","Saska"
"125","Szczecińska"
"125","Rzebika"
"125","Mały Płaszów"
"125","Surzyckiego"
"125","Albatrosów"
"125","Jeżowa"
"125","Garbarnia"
"125","Bacutil"
"125","Półłanki"
"125","Bieżanów Bazy"
"125","Agatowa"
"127","Powstańców Wielkopolskich"
"127","Powstańców Wielkopolskich"
"127","Kuklińskiego"
"127","Kuklińskiego"
"127","Płaszowska"
"127","Saska"
"127","Szczecińska"
"127","Łanowa"
"127","Motyla"
"128","Zajezdnia Płaszów"
"128","Płk. Dąbka"
"128","Surzyckiego"
"128","Mały Płaszów"
"128","Rzebika"
"128","Lipska"
"128","Saska"
"128","Stoczniowców"
"128","Ofiar Dąbia"
"128","Dąbie"
"128","TAURON Arena Kraków Al. Pokoju"
"128","TAURON Arena Kraków"
"128","Wieczysta"
"128","Meissnera"
"128","Pszona"
"128","Rondo Młyńskie"
"128","Miechowity"
"128","Rondo Barei"
"128","Strzelców"
"129","Dworzec Główny Zachód"
"129","Politechnika"
"129","Cmentarz Rakowicki Zachód"
"129","Biskupa Prandoty"
"129","Uniwersytet Rolniczy"
"129","Brogi"
"129","Bosaków"
"129","Miechowity"
"129","Rondo Młyńskie"
"129","Miechowity"
"129","Rondo Barei"
"129","Park Wodny"
"129","Os.Oświecenia"
"129","Okulickiego"
"129","Wiślicka"
"129","Os.Dywizjonu 303"
"129","Stella-Sawickiego"
"129","Medweckiego"
"130","Azory"
"130","Różyckiego"
"130","Makowskiego"
"130","Łokietka"
"130","Łobzów PKP"
"130","Urząd Marszałkowski"
"130","Wrocławska"
"130","Nowy Kleparz"
"130","Nowy Kleparz"
"130","Politechnika"
"131","Pleszów"
"131","Zakład Przeróbki"
"131","Szymańskiego"
"131","Branice Pagórek"
"131","Branice Na Dole"
"131","Branice Szkoła"
"131","Branice"
"131","Branice Ośrodek Zdrowia"
"131","Chałupki Górne"
"131","Kąkolowa"
"131","Truskawkowa"
"132","Kombinat"
"132","Struga"
"132","Aleja Róż"
"132","Os.Zgody"
"132","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"132","DH Wanda"
"132","Os.Na Lotnisku"
"132","Os.Strusia"
"132","Wiślicka"
"132","Okulickiego"
"132","Os.Oświecenia"
"132","Park Wodny"
"132","Rondo Barei"
"132","Rondo Barei"
"132","Olsza II"
"132","Lublańska"
"132","Opolska Estakada"
"132","Imbramowska"
"132","Mackiewicza"
"132","Zdrowa"
"132","Lekarska"
"132","Bratysławska"
"132","Nowy Kleparz"
"132","Politechnika"
"133","Łagiewniki"
"133","Łagiewniki"
"133","Sucha"
"133","Fredry"
"133","Turowicza"
